,Count,Percentage of Listings
wide hallways,1308,6.303310683822466
wide entrance for guests,1308,6.303310683822466
ethernet connection,1312,6.322586863283696
single level home,1375,6.6261866897980815
lake access,1378,6.6406438243940045
buzzer/wireless intercom,1542,7.4309671823044665
other,1627,7.840585995855622
bbq grill,1646,7.932147848296468
breakfast,1850,8.915233000819239
well-lit path to entrance,1938,9.339308948966314
24-hour check-in,1958,9.435689846272469
free street parking,2015,9.710375403595007
indoor fireplace,2051,9.883861018746085
keypad,2136,10.293479832297239
translation missing: en.hosting_amenity_49,2251,10.847669991807624
no stairs or steps to enter,2337,11.262107850224085
bathtub,2475,11.927136041636548
private living room,2592,12.49096429087755
paid parking on premises,2599,12.524697604934701
pets allowed,2604,12.54879282926124
garden or backyard,2660,12.818659341718472
safety card,2702,13.021059226061393
translation missing: en.hosting_amenity_50,2799,13.48850657799624
hot tub,3115,15.011324755433472
host greets you,3239,15.608886318731626
lockbox,3359,16.187171702568552
pool,3819,18.40393234061009
luggage dropoff allowed,3913,18.856922557949016
patio or balcony,4587,22.1049587971664
cable tv,4735,22.81817743723194
paid parking off premises,4759,22.933834513999326
internet,4998,24.085586236807867
extra pillows and blankets,5835,28.11912678907041
dishwasher,5875,28.311888583682716
lock on bedroom door,6244,30.090116138981255
gym,6295,30.335887427111945
long term stays allowed,6471,31.184039323406097
family/kid friendly,6560,31.612934316418485
private entrance,7006,33.76222832634571
coffee maker,7184,34.62001831237049
self check-in,7229,34.836875331309336
bed linens,7875,37.94997831429811
first aid kit,7924,38.18611151269818
cooking basics,8121,39.1354633511638
oven,8174,39.390872729025105
free parking on premises,8327,40.12818659341718
stove,8521,41.06308129728688
microwave,8671,41.78593802708303
elevator,8671,41.78593802708303
dishes and silverware,8700,41.925690328176955
refrigerator,9431,45.44841212471688
fire extinguisher,10742,51.76617994313527
hot water,12253,59.0477567346152
iron,14644,70.5700930075659
tv,14662,70.65683581514143
hair dryer,15306,73.7603007083996
laptop friendly workspace,15611,75.23010939231844
dryer,16542,79.71664016191991
shampoo,16602,80.00578285383837
carbon monoxide detector,16655,80.26119223169968
washer,16797,80.94549660257337
hangers,17590,84.76699918076237
air conditioning,17728,85.43202737217483
kitchen,19127,92.17387113874031
smoke detector,19520,94.06775577080623
essentials,19736,95.1086694617127
heating,20091,96.81943038889692
wifi,20366,98.14466772685654
